CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,MonthlyCharges,TotalCharges,Churn
fRcA-02629,Male,0,No,Yes,49,No,Fiber optic,Month-to-month,85.39,4202.6,No
gEMD-25995,Female,1,Yes,No,2,Yes,No,One year,25.75,97.55,No
eMtq-19937,Female,1,Yes,Yes,19,No,Fiber optic,Month-to-month,95.11,1849.38,No
OqLd-86746,Female,0,No,No,17,No,No,One year,20.93,361.06,No
VONb-76488,Male,1,Yes,Yes,22,Yes,DSL,Month-to-month,71.03,1541.39,Yes
rubw-85795,Female,1,Yes,No,7,Yes,No,Month-to-month,26.02,134.85,No
cPns-55456,Male,0,No,Yes,15,No,No,One year,19.92,257.5,No
Ovel-20757,Male,1,Yes,No,44,No,No,Month-to-month,22.31,1012.51,No
kIQt-58684,Female,1,No,Yes,2,No,Fiber optic,Two year,78.01,174.23,Yes
SAzo-31746,Male,1,No,No,38,Yes,No,Month-to-month,24.19,877.51,No
eark-39776,Female,0,No,Yes,38,Yes,No,Month-to-month,29.1,1094.37,Yes
mAbu-84396,Female,0,No,No,36,No,Fiber optic,One year,113.0,4117.56,No
nOOG-49106,Male,1,Yes,Yes,14,Yes,DSL,Month-to-month,50.96,684.48,No
MXsw-67373,Male,0,Yes,Yes,72,Yes,No,One year,31.15,2287.14,No
iYlV-31460,Female,1,No,No,63,Yes,No,Two year,29.1,1831.38,Yes
cWrt-43062,Male,1,Yes,Yes,58,No,Fiber optic,One year,92.02,5306.11,No
hliy-21270,Female,0,No,Yes,4,No,Fiber optic,Month-to-month,86.63,390.0,Yes
Fphj-44044,Female,0,No,No,33,No,DSL,Month-to-month,55.47,1788.54,No
ZFWc-67531,Female,1,Yes,No,56,Yes,No,One year,33.01,1870.55,No
uQno-85997,Female,0,No,No,37,Yes,DSL,Two year,54.89,1993.59,Yes
zYqH-65553,Male,0,Yes,Yes,31,Yes,No,Two year,27.73,901.24,Yes
yWDV-53002,Female,0,Yes,Yes,52,Yes,Fiber optic,Two year,82.17,4238.29,Yes
Rfhm-93547,Female,1,No,No,1,No,Fiber optic,Two year,81.73,90.19,No
JFrr-51167,Male,0,No,No,56,Yes,DSL,Two year,66.88,3720.0,No
NcZt-36216,Male,1,No,Yes,37,Yes,DSL,Month-to-month,66.45,2465.54,Yes
WsCr-46230,Male,0,No,No,72,No,No,Month-to-month,20.66,1535.61,No
Trhi-74880,Female,1,No,No,18,Yes,Fiber optic,Month-to-month,87.01,1577.5,Yes
YxTD-09922,Male,1,No,Yes,17,No,No,One year,21.9,418.5,No
PCuV-73750,Female,1,No,Yes,53,Yes,Fiber optic,One year,103.11,5478.75,Yes
jyRU-31899,Male,1,Yes,No,39,No,Fiber optic,One year,88.39,3487.15,Yes
hZCQ-98030,Female,1,Yes,No,31,No,No,One year,24.37,785.85,No
HhUk-61885,Female,1,Yes,Yes,67,No,No,Month-to-month,19.98,1319.25,No
wwOQ-37034,Male,1,Yes,No,46,Yes,DSL,One year,49.43,2230.54,No
KmIU-75463,Male,0,No,No,65,Yes,No,Two year,27.5,1828.31,No
YHoA-72495,Male,0,Yes,Yes,53,Yes,No,Month-to-month,29.38,1536.88,No
xRlz-52402,Male,1,Yes,Yes,65,Yes,DSL,One year,41.97,2752.53,No
iwNE-72076,Male,0,No,Yes,29,No,No,One year,20.44,632.48,No
Rjeh-85569,Female,1,No,Yes,35,Yes,No,Month-to-month,33.64,1155.53,No
xBTL-55296,Female,1,No,Yes,71,Yes,Fiber optic,Two year,109.53,7774.9,No
XsEV-34507,Male,1,No,Yes,35,No,DSL,Month-to-month,63.71,2272.92,No
lafY-87695,Male,0,No,Yes,16,Yes,No,One year,19.47,358.8,No
NmMJ-40769,Male,1,No,No,60,No,Fiber optic,One year,99.16,5935.0,No
roVK-38661,Female,0,No,Yes,28,Yes,DSL,Month-to-month,46.05,1273.98,No
mXXp-04788,Male,0,No,Yes,33,Yes,DSL,Two year,47.44,1566.61,No
fLCw-28220,Female,1,Yes,Yes,27,Yes,Fiber optic,One year,91.86,2441.91,Yes
FoWV-18080,Female,0,Yes,No,4,Yes,Fiber optic,Month-to-month,100.58,437.5,Yes
ChtH-05120,Male,0,Yes,No,3,No,No,Two year,22.18,109.32,No
PIUt-28041,Female,1,Yes,Yes,46,Yes,DSL,Month-to-month,54.08,2474.32,No
CWdK-00727,Male,1,Yes,No,20,Yes,Fiber optic,One year,120.16,2403.77,Yes
xPnN-00395,Female,0,No,Yes,53,Yes,DSL,Month-to-month,51.26,2765.15,No
jwlA-06872,Female,0,Yes,No,6,Yes,Fiber optic,Month-to-month,105.58,653.55,Yes
jPrq-42835,Male,0,No,Yes,60,Yes,DSL,One year,59.27,3512.01,No
SQmG-72093,Male,1,No,No,42,Yes,No,One year,28.92,1177.41,Yes
BBGs-03112,Male,1,Yes,No,28,No,No,One year,24.6,718.3,No
eiCH-68783,Male,0,Yes,No,65,No,DSL,One year,65.46,4291.31,No
PjLw-79141,Female,1,Yes,Yes,19,No,Fiber optic,Two year,81.62,1521.94,No
xwXt-12690,Male,0,Yes,Yes,58,No,Fiber optic,Two year,106.06,6199.2,Yes
urTK-50020,Male,0,No,No,29,No,No,One year,20.98,572.03,No
wjrS-15945,Female,1,Yes,No,25,No,DSL,Month-to-month,55.29,1337.51,No
QzCd-68494,Male,0,No,Yes,21,Yes,DSL,One year,68.38,1481.49,No
PBSx-89665,Female,0,Yes,No,5,No,No,Month-to-month,24.18,105.88,Yes
wcUb-00090,Male,1,No,No,17,No,DSL,Two year,57.01,965.52,No
ldBv-89887,Male,1,Yes,No,66,Yes,Fiber optic,Two year,104.61,6905.42,No
zRls-54524,Female,0,Yes,No,21,No,Fiber optic,Month-to-month,89.38,1881.64,Yes
xmeJ-75345,Male,0,Yes,Yes,25,Yes,DSL,Month-to-month,61.19,1546.75,Yes
HRCR-89755,Female,0,No,No,29,Yes,No,Month-to-month,24.44,703.54,Yes
PUlb-80607,Female,0,Yes,No,47,Yes,Fiber optic,Month-to-month,98.88,4669.56,Yes
QXTZ-79505,Female,1,Yes,No,71,Yes,DSL,Month-to-month,49.23,3448.62,No
Prcj-92051,Female,0,No,No,38,No,No,One year,23.82,917.81,No
qrHh-96672,Male,0,No,No,15,No,DSL,One year,54.6,858.18,No
AoAm-66003,Male,1,Yes,No,16,Yes,DSL,One year,67.19,1121.03,No
EqNY-23859,Male,1,Yes,No,25,No,Fiber optic,Month-to-month,104.8,2607.05,No
YZwH-00328,Male,0,No,No,39,No,Fiber optic,One year,82.8,3181.17,No
bYxp-30441,Male,1,Yes,Yes,53,No,DSL,Two year,68.51,3582.38,No
bjZC-53155,Male,1,No,No,47,No,No,Month-to-month,20.37,962.41,No
bTzL-49078,Male,1,No,Yes,64,No,DSL,One year,69.97,4514.82,No
igSp-20119,Female,1,Yes,Yes,72,No,Fiber optic,One year,71.09,5118.35,Yes
nRur-04060,Male,0,Yes,No,24,Yes,DSL,Month-to-month,53.61,1279.26,No
uxQJ-94771,Female,0,Yes,Yes,67,Yes,No,Month-to-month,25.24,1713.44,No
QzQg-71724,Male,1,Yes,Yes,18,No,No,One year,22.44,373.0,No
FKsq-82232,Male,1,No,Yes,13,No,DSL,One year,60.68,794.65,Yes
TxfQ-36688,Female,0,Yes,No,9,Yes,Fiber optic,Two year,115.98,1012.83,Yes
SelX-69553,Male,1,No,No,18,No,DSL,One year,67.34,1190.01,No
XQSM-29584,Female,0,No,Yes,54,Yes,Fiber optic,Month-to-month,85.72,4669.56,No
KBmn-34023,Male,0,No,Yes,59,No,Fiber optic,Month-to-month,104.91,6182.59,Yes
zyAM-37509,Male,1,No,No,35,No,DSL,One year,67.08,2379.5,No
NcWB-05881,Female,1,Yes,No,29,No,No,One year,23.49,712.52,Yes
GQDd-84847,Male,0,No,Yes,43,Yes,Fiber optic,One year,99.25,4301.24,Yes
MTyD-92711,Female,1,No,No,10,Yes,No,Two year,28.98,332.36,No
Mkdi-98147,Female,0,No,No,10,No,DSL,Month-to-month,41.18,419.79,Yes
LtrB-38951,Male,1,Yes,Yes,24,Yes,DSL,One year,66.14,1557.61,Yes
XiqM-26738,Male,1,No,Yes,35,No,DSL,One year,60.76,2127.23,No
OooO-36844,Male,0,Yes,No,44,Yes,DSL,Month-to-month,71.34,3165.28,No
aHCM-22366,Female,1,No,No,54,Yes,DSL,One year,68.34,3722.46,No
UijO-57006,Female,0,No,Yes,20,No,No,Month-to-month,24.36,508.81,No
XZzZ-11284,Male,0,No,No,10,No,DSL,Two year,48.81,440.76,No
mzdD-59015,Female,0,No,Yes,46,Yes,No,One year,28.21,1301.42,Yes
aBic-14581,Male,0,No,No,33,Yes,Fiber optic,Two year,80.89,2633.42,No
gCqi-80049,Female,0,Yes,Yes,16,Yes,Fiber optic,Two year,110.56,1780.02,No
jfzp-81648,Female,1,No,Yes,28,Yes,Fiber optic,One year,85.77,2416.51,No
CSSt-73423,Male,1,Yes,No,52,Yes,Fiber optic,One year,86.21,4515.76,Yes
jtjL-35954,Male,1,No,Yes,24,Yes,No,Month-to-month,26.1,595.38,No
aObd-67547,Female,0,Yes,No,28,Yes,Fiber optic,Two year,82.49,2276.23,Yes
Dsrr-85045,Female,0,Yes,No,54,No,DSL,Two year,48.7,2619.98,No
CIvz-51783,Male,1,No,No,11,Yes,Fiber optic,Month-to-month,82.85,876.34,Yes
CXBf-21639,Female,1,No,No,24,No,Fiber optic,Month-to-month,77.44,1898.78,Yes
oBkO-28941,Male,1,No,No,11,Yes,Fiber optic,One year,95.58,1025.77,No
uSDn-61798,Female,0,Yes,Yes,28,No,DSL,Month-to-month,58.39,1635.28,No
Bysy-63470,Female,1,No,Yes,40,No,Fiber optic,Month-to-month,70.98,2820.21,Yes
njxR-99973,Male,1,No,Yes,7,Yes,Fiber optic,One year,83.4,552.33,Yes
gXfO-53235,Female,0,Yes,No,19,Yes,DSL,Two year,59.67,1121.75,No
INMZ-18870,Female,0,No,Yes,39,No,Fiber optic,Two year,87.08,3412.2,No
XkDn-03742,Male,0,No,No,8,No,Fiber optic,Month-to-month,114.25,884.65,Yes
Dado-67773,Male,1,No,Yes,7,No,DSL,One year,46.54,322.2,No
EdpW-93587,Male,0,Yes,Yes,27,Yes,No,Month-to-month,23.92,647.32,Yes
wyat-49640,Female,0,No,No,16,Yes,No,Month-to-month,22.16,352.43,Yes
CmbD-05983,Female,0,Yes,No,4,No,No,Month-to-month,24.36,117.9,No
IYTX-71085,Male,1,No,No,9,Yes,Fiber optic,One year,87.3,746.07,No
Veal-52074,Female,0,No,Yes,30,No,No,One year,21.01,662.96,Yes
PITK-42755,Female,0,Yes,No,24,No,Fiber optic,One year,103.7,2487.72,No
xrhz-98648,Male,0,No,No,48,No,DSL,Month-to-month,54.55,2657.13,Yes
YoNE-20646,Female,0,No,Yes,18,No,DSL,Month-to-month,46.67,817.62,Yes
SZVW-40674,Female,1,No,No,65,No,DSL,One year,43.7,2846.43,No
kNhn-02866,Male,0,Yes,No,68,Yes,DSL,Two year,67.08,4609.25,No
Lejl-61796,Female,1,Yes,No,52,Yes,DSL,One year,52.02,2682.15,No
eFcH-47580,Male,1,Yes,No,6,No,DSL,Month-to-month,67.16,431.86,Yes
eCMo-89630,Male,0,No,Yes,48,Yes,DSL,Two year,64.87,3140.91,No
Fqan-48126,Male,0,Yes,Yes,34,No,Fiber optic,One year,102.91,3520.88,Yes
HfDS-96036,Male,0,Yes,Yes,32,No,DSL,Two year,59.56,1907.47,No
fLLv-90745,Male,0,Yes,No,71,Yes,No,Month-to-month,29.7,2144.21,No
XZCu-97032,Female,0,No,No,7,No,No,Two year,19.44,86.59,Yes
bzwL-45627,Female,0,No,Yes,16,No,Fiber optic,Month-to-month,96.9,1508.52,No
JdYy-57881,Male,1,Yes,Yes,66,Yes,Fiber optic,Month-to-month,83.15,5480.1,No
hvmO-67675,Female,1,Yes,No,49,No,DSL,One year,54.04,2662.98,No
SrfT-07250,Male,0,Yes,Yes,13,Yes,Fiber optic,One year,94.29,1200.94,Yes
RZeb-48728,Male,0,Yes,No,9,Yes,No,Two year,32.22,330.81,No
doYM-77165,Female,0,Yes,No,1,No,Fiber optic,One year,103.5,103.5,Yes
SDBM-48354,Male,1,No,No,9,No,DSL,Two year,51.9,422.22,No
utdB-70087,Female,1,No,Yes,22,Yes,DSL,One year,63.65,1403.02,No
ZPqn-14662,Female,1,No,Yes,1,Yes,No,Two year,28.24,28.24,Yes
bIjG-03897,Male,0,Yes,Yes,19,Yes,No,One year,26.07,467.52,No
AtCm-70660,Female,1,No,No,16,Yes,DSL,One year,65.33,1003.97,No
qXfR-57391,Male,0,Yes,Yes,57,Yes,No,Month-to-month,23.08,1295.41,No
Gyrf-25127,Male,0,No,Yes,32,No,Fiber optic,Two year,94.53,3025.73,No
YTKr-37499,Male,1,Yes,No,45,Yes,No,Month-to-month,19.56,915.79,Yes
mCQQ-87545,Female,0,Yes,Yes,15,No,Fiber optic,Two year,87.87,1338.9,No
zKsa-79641,Female,0,No,No,30,Yes,No,Two year,24.97,730.68,No
AqDL-36997,Female,0,Yes,Yes,63,Yes,Fiber optic,Two year,84.38,5272.19,Yes
OjDB-49221,Male,1,Yes,No,11,Yes,Fiber optic,One year,75.53,812.42,No
FwaG-97387,Female,0,Yes,Yes,30,Yes,No,One year,30.22,932.08,No
dOeu-14269,Female,0,No,Yes,23,Yes,DSL,One year,67.17,1542.51,No
jQYp-83083,Female,0,Yes,No,50,No,No,Month-to-month,24.09,1241.2,No
MxWU-11539,Female,1,No,Yes,46,Yes,DSL,Month-to-month,74.68,3455.26,No
jCxL-41511,Male,1,Yes,Yes,10,No,No,Two year,19.14,211.24,No
jaDg-49677,Female,0,Yes,No,71,Yes,No,Month-to-month,32.79,2327.05,No
ROko-48875,Female,1,No,Yes,26,No,Fiber optic,Two year,75.29,1929.83,No
gLwv-91035,Female,1,No,No,43,Yes,No,One year,29.52,1295.49,No
qDaf-75669,Female,0,Yes,Yes,35,No,Fiber optic,Two year,100.03,3461.44,Yes
unzW-84510,Female,1,No,Yes,39,Yes,No,Month-to-month,23.22,905.36,Yes
FAYT-72580,Female,1,No,Yes,19,No,Fiber optic,Month-to-month,111.67,2101.42,Yes
fdpB-75747,Male,1,Yes,Yes,20,Yes,No,One year,33.69,625.33,No
ZhNq-89615,Female,0,Yes,Yes,18,No,Fiber optic,Month-to-month,87.34,1619.29,No
pgti-28073,Female,1,Yes,Yes,37,Yes,DSL,Month-to-month,73.18,2743.81,Yes
RUZJ-80700,Male,1,Yes,Yes,4,No,No,One year,23.65,132.28,Yes
IVJz-00825,Female,1,Yes,No,20,No,No,Month-to-month,19.41,393.86,Yes
tBYJ-10284,Female,1,Yes,No,40,Yes,No,Month-to-month,24.85,944.33,Yes
alxB-50374,Male,1,Yes,Yes,65,Yes,DSL,Month-to-month,54.26,3576.47,Yes
rULD-42324,Female,0,No,No,6,No,No,Two year,21.03,92.61,No
qXnU-73569,Male,1,Yes,No,33,Yes,DSL,One year,45.39,1530.46,No
zKwO-38264,Male,0,No,Yes,3,Yes,No,Month-to-month,30.81,122.6,Yes
rhAx-37516,Female,1,Yes,Yes,45,No,DSL,Two year,60.77,2781.86,No
DqbH-07480,Female,0,No,No,64,No,DSL,Month-to-month,68.63,4410.59,Yes
ojfh-22397,Male,0,No,No,71,Yes,No,One year,25.13,1747.51,No
bAgg-03663,Male,0,Yes,No,58,No,DSL,One year,57.08,3341.04,No
Fmpo-47820,Female,1,Yes,Yes,67,No,DSL,One year,56.23,3742.58,No
Wpqs-52260,Female,1,No,No,72,No,No,Month-to-month,23.85,1712.93,No
SNtt-30443,Male,0,No,Yes,7,Yes,DSL,One year,46.98,342.87,Yes
OGAo-07899,Male,1,No,Yes,30,No,No,Month-to-month,21.32,634.5,Yes
HRda-25797,Female,1,No,Yes,30,No,No,One year,23.96,708.06,No
ZUBc-76046,Male,0,No,Yes,50,Yes,DSL,Month-to-month,49.85,2488.7,No
zOSt-49956,Male,0,Yes,No,43,No,Fiber optic,Two year,81.3,3515.02,No
eiyV-68537,Male,1,Yes,Yes,38,Yes,Fiber optic,Month-to-month,87.74,3284.52,Yes
Bvxw-84482,Female,1,No,Yes,22,Yes,No,One year,19.74,420.34,No
BbIa-77673,Male,1,No,Yes,54,Yes,Fiber optic,Two year,117.55,6332.33,Yes
vuZj-65438,Female,1,Yes,Yes,10,No,DSL,Two year,62.3,643.15,No
YojO-31219,Female,0,No,No,25,Yes,Fiber optic,Two year,99.35,2457.7,No
VYvt-83573,Female,1,No,No,69,No,DSL,One year,50.79,3535.42,No
ZnNB-52922,Male,0,No,Yes,27,Yes,Fiber optic,Two year,105.24,2864.14,No
Sbjz-03621,Male,0,No,Yes,68,No,DSL,One year,59.39,4040.87,No
JuIY-01521,Male,0,Yes,No,1,Yes,DSL,Month-to-month,55.13,55.13,No
ucxB-35360,Female,0,No,No,13,Yes,Fiber optic,Month-to-month,113.59,1489.9,No
CksC-47962,Female,1,Yes,Yes,29,No,Fiber optic,One year,100.2,2905.16,No
Jzeh-61385,Female,0,No,Yes,58,Yes,No,Month-to-month,29.83,1732.93,Yes
DxXe-70381,Female,1,No,Yes,31,No,No,One year,21.54,658.38,No
JzCZ-69039,Male,1,No,No,31,Yes,No,One year,26.75,801.83,Yes
Fano-41434,Female,0,No,No,65,No,No,Two year,19.04,1273.03,No
TDiy-91556,Female,0,Yes,Yes,24,Yes,DSL,Month-to-month,45.08,1108.76,Yes
aSlJ-51725,Male,1,Yes,No,24,No,DSL,Two year,42.77,1075.64,Yes
Sudq-49210,Male,0,Yes,Yes,52,Yes,DSL,Month-to-month,57.08,3014.95,Yes
dSqX-33517,Male,0,No,Yes,23,No,No,Two year,21.72,523.36,No
raZt-68529,Female,1,Yes,No,5,No,No,Two year,20.3,104.16,Yes
SuAt-75803,Male,1,No,No,17,Yes,Fiber optic,One year,72.04,1245.21,No
aadJ-54175,Female,1,Yes,No,6,No,No,Month-to-month,21.17,104.38,Yes
gqip-21973,Female,1,Yes,No,23,Yes,DSL,Month-to-month,65.5,1545.4,Yes
NGbf-55468,Male,1,No,No,16,Yes,DSL,One year,52.97,844.53,No
qCzr-65582,Male,1,No,No,57,No,Fiber optic,Month-to-month,94.9,5390.85,Yes
apaz-78571,Female,1,Yes,Yes,41,No,DSL,Month-to-month,68.83,2780.16,Yes
ZMIo-03253,Female,1,Yes,No,23,No,DSL,Two year,53.58,1219.14,No
IDOm-08776,Female,1,No,Yes,25,Yes,No,Two year,28.01,675.32,No
TokB-25835,Male,0,No,No,26,No,DSL,One year,48.15,1206.84,No
pYWH-03971,Male,1,No,Yes,66,No,No,Two year,22.75,1487.46,No
vxQv-01118,Female,1,No,No,8,Yes,Fiber optic,One year,88.69,757.69,No
IbrW-94706,Male,1,No,No,65,No,DSL,One year,65.62,4279.16,No
THLq-87687,Male,0,No,No,44,No,No,Month-to-month,21.18,905.79,Yes
iaYg-72395,Female,0,No,No,64,No,Fiber optic,Two year,112.21,7185.32,No
Efqa-98228,Male,0,Yes,Yes,20,Yes,Fiber optic,Month-to-month,97.38,1909.79,Yes
mAmA-61101,Female,0,No,Yes,11,No,Fiber optic,One year,89.88,998.16,Yes
aRNX-94364,Male,1,Yes,Yes,56,No,No,One year,20.1,1162.04,No
lzAz-15436,Female,0,Yes,Yes,64,Yes,No,One year,30.91,1993.69,No
QtpV-10778,Female,1,Yes,Yes,43,Yes,DSL,Month-to-month,59.07,2531.61,No
tylI-73560,Male,1,Yes,Yes,68,Yes,Fiber optic,Two year,76.83,5221.18,No
sKao-63959,Female,1,No,No,13,Yes,No,Month-to-month,29.25,360.71,No
lXiE-47141,Female,0,No,No,32,No,DSL,One year,56.42,1842.5,No
xTDC-94331,Female,0,No,No,50,Yes,Fiber optic,Month-to-month,118.2,5936.57,No
ouUn-43986,Female,1,Yes,No,50,No,Fiber optic,Month-to-month,94.21,4727.47,Yes
QIFw-56794,Male,0,No,Yes,61,No,Fiber optic,Two year,72.5,4411.21,No
zSup-96054,Female,1,Yes,No,24,Yes,No,One year,22.7,590.97,No
MAHS-86961,Female,1,No,No,65,Yes,Fiber optic,One year,112.38,7266.56,No
yyHO-04367,Female,1,Yes,Yes,67,Yes,DSL,Month-to-month,52.36,3495.22,No
KvwW-59479,Female,0,Yes,No,36,No,No,Two year,21.1,743.3,No
BbKW-10064,Female,1,Yes,No,36,Yes,DSL,Two year,71.77,2558.62,No
umfs-45511,Male,1,Yes,Yes,4,Yes,DSL,One year,52.71,172.88,No
HOlM-36093,Female,0,No,No,72,No,DSL,One year,50.02,3621.59,No
AQQE-02777,Female,1,Yes,Yes,66,No,No,Month-to-month,24.95,1664.25,No
vCRf-45615,Female,0,Yes,Yes,62,No,Fiber optic,One year,71.52,4480.16,No
EKIE-34133,Female,1,Yes,No,33,Yes,No,Month-to-month,24.76,768.6,No
zGnL-16823,Male,1,Yes,Yes,39,No,DSL,One year,44.43,1753.11,No
zNcI-73010,Female,1,Yes,No,7,No,No,Two year,20.42,104.54,No
KEql-20492,Female,0,Yes,No,67,No,No,Two year,22.36,1535.93,No
sVgv-96962,Male,1,Yes,No,63,No,No,Month-to-month,23.31,1514.36,No
wMsJ-60633,Male,0,No,No,15,Yes,DSL,Two year,64.98,925.86,Yes
Udsa-38890,Male,0,No,Yes,27,Yes,No,One year,25.22,660.34,Yes
dUDU-13166,Male,0,Yes,No,11,Yes,DSL,Two year,55.32,629.98,No
zQJO-69324,Female,1,Yes,No,67,No,No,One year,24.5,1629.82,No
wLtx-22187,Male,1,Yes,No,29,Yes,No,Month-to-month,29.08,828.02,Yes
hxMy-19260,Female,1,Yes,Yes,35,Yes,DSL,Two year,66.23,2281.57,No
HwRI-18645,Male,0,No,No,13,Yes,No,Month-to-month,28.67,386.03,No
EfnT-61056,Male,1,Yes,No,72,Yes,Fiber optic,Month-to-month,111.64,8034.31,No
idqg-14773,Female,0,Yes,No,56,Yes,DSL,Month-to-month,70.89,3948.23,Yes
WvKQ-80351,Male,1,No,No,18,Yes,Fiber optic,Month-to-month,115.21,2102.06,Yes
GliL-10712,Male,0,No,Yes,32,No,Fiber optic,Month-to-month,94.96,3030.18,Yes
ODLP-17177,Female,1,Yes,No,67,Yes,No,Month-to-month,26.8,1747.02,Yes
Eeuc-05829,Female,1,No,Yes,38,No,DSL,One year,56.16,2174.44,No
vyiS-77946,Female,0,No,No,53,Yes,Fiber optic,One year,99.4,5291.59,No
MAQE-89617,Male,1,Yes,Yes,55,Yes,No,One year,34.38,1858.65,No
ygcn-06855,Male,0,Yes,Yes,27,No,No,Two year,20.82,550.32,No
uITg-18663,Female,1,No,No,35,No,DSL,Month-to-month,45.57,1596.5,No
zpGO-27781,Male,1,No,Yes,20,Yes,DSL,One year,57.91,1147.92,Yes
vaCy-71795,Female,1,No,No,50,No,DSL,Two year,60.53,3072.49,No
Fkng-62074,Male,1,No,No,13,No,Fiber optic,Two year,105.58,1338.14,No
pFmi-32058,Female,1,Yes,Yes,47,No,Fiber optic,Month-to-month,72.84,3453.22,No
whpw-15175,Male,1,No,No,47,No,Fiber optic,One year,75.2,3571.82,Yes
SiaK-28554,Female,0,Yes,No,54,Yes,No,Two year,23.26,1206.6,No
aFFH-81438,Male,1,No,Yes,43,Yes,DSL,Month-to-month,69.69,2984.18,Yes
wLVQ-14023,Male,1,Yes,Yes,5,No,Fiber optic,Month-to-month,76.78,371.79,Yes
Mvvk-96703,Male,0,No,Yes,10,No,DSL,Month-to-month,40.39,354.3,No
FWZK-06745,Female,0,Yes,Yes,43,Yes,Fiber optic,One year,89.65,3814.33,No
hJCC-26093,Female,0,Yes,Yes,20,Yes,DSL,Month-to-month,66.62,1289.8,No
YSJO-26796,Female,1,No,No,68,Yes,DSL,One year,54.09,3695.85,No
HUFg-44082,Male,1,No,Yes,22,Yes,No,One year,27.26,557.48,No
YDLj-54863,Male,0,No,Yes,61,Yes,No,Two year,31.46,1945.93,No
SPHg-64717,Female,1,Yes,No,9,No,Fiber optic,One year,84.74,737.82,No
rYFo-03562,Female,0,No,No,37,Yes,Fiber optic,Month-to-month,106.58,3992.68,No
Kbqn-36629,Male,1,Yes,Yes,16,No,DSL,Two year,62.87,957.06,No
